x1 y1 z1 x2 y2 z2 radius R G B time type 
0.0000 0.0000 -0.0000 0.1474 0.0659 -0.9869 0.1048 1.0000 0.0000 0.0000 0.8883 1.0000 
0.1474 0.0659 -0.9869 0.2017 0.1724 -1.8283 0.1048 1.0000 0.0000 0.0000 1.6467 1.0000 
0.2017 0.1724 -1.8283 0.2915 0.2574 -2.8206 0.1048 1.0000 0.0000 0.0000 2.5434 1.0000 
0.2915 0.2574 -2.8206 0.3072 0.2692 -2.9653 0.1048 1.0000 0.0000 0.0000 2.6746 1.0000 
0.3072 0.2692 -2.9653 0.4104 0.2809 -3.9599 0.1048 1.0000 0.0000 0.0000 3.5765 1.0000 
0.4104 0.2809 -3.9599 0.4347 0.2943 -4.1954 0.1048 1.0000 0.0000 0.0000 3.7910 1.0000 
0.4347 0.2943 -4.1954 0.6581 0.3148 -5.1002 0.1048 1.0000 0.0000 0.0000 4.6369 1.0000 
0.6581 0.3148 -5.1002 0.7157 0.3645 -6.0130 0.1048 1.0000 0.0000 0.0000 5.4720 1.0000 
0.7157 0.3645 -6.0130 0.7637 0.3364 -7.0115 0.1048 1.0000 0.0000 0.0000 6.3882 1.0000 
0.7637 0.3364 -7.0115 0.7663 0.3342 -7.0754 0.1048 1.0000 0.0000 0.0000 6.4471 1.0000 
0.7663 0.3342 -7.0754 0.7273 0.3228 -7.9388 0.1048 1.0000 0.0000 0.0000 7.2431 1.0000 
0.7273 0.3228 -7.9388 0.6282 0.2903 -8.8919 0.1048 1.0000 0.0000 0.0000 8.1304 1.0000 
0.6282 0.2903 -8.8919 0.5592 0.2013 -9.7900 0.1048 1.0000 0.0000 0.0000 8.9720 1.0000 
0.5592 0.2013 -9.7900 0.5190 0.0803 -10.7741 0.1048 1.0000 0.0000 0.0000 9.8995 1.0000 
0.5190 0.0803 -10.7741 0.4502 -0.0256 -11.7409 0.1048 1.0000 0.0000 0.0000 10.8154 1.0000 
0.4502 -0.0256 -11.7409 0.5159 -0.0210 -12.7387 0.1048 1.0000 0.0000 0.0000 11.7598 1.0000 
0.5159 -0.0210 -12.7387 0.5243 -0.0160 -12.8784 0.1048 1.0000 0.0000 0.0000 11.8924 1.0000 
0.5243 -0.0160 -12.8784 0.5350 0.0107 -13.6568 0.1048 1.0000 0.0000 0.0000 12.6322 1.0000 
0.5350 0.0107 -13.6568 0.3535 0.0917 -14.6369 0.1048 1.0000 0.0000 0.0000 13.5864 1.0000 
0.3535 0.0917 -14.6369 0.3289 0.0981 -14.7568 0.1048 1.0000 0.0000 0.0000 13.7036 1.0000 
0.3289 0.0981 -14.7568 0.1695 0.0513 -15.7429 0.1048 1.0000 0.0000 0.0000 14.6636 1.0000 
0.1695 0.0513 -15.7429 0.1603 0.0469 -15.8065 0.1048 1.0000 0.0000 0.0000 14.7256 1.0000 
0.1603 0.0469 -15.8065 0.0619 0.0341 -16.5856 0.1048 1.0000 0.0000 0.0000 15.4835 1.0000 
0.0619 0.0341 -16.5856 -0.0142 0.1360 -17.5775 0.1048 1.0000 0.0000 0.0000 16.4532 1.0000 
-0.0142 0.1360 -17.5775 -0.0172 0.1366 -17.6117 0.1048 1.0000 0.0000 0.0000 16.4866 1.0000 
-0.0172 0.1366 -17.6117 0.0901 0.1622 -18.6056 0.1048 1.0000 0.0000 0.0000 17.4618 1.0000 
0.0901 0.1622 -18.6056 0.0938 0.1630 -18.6394 0.1048 1.0000 0.0000 0.0000 17.4951 1.0000 
0.0938 0.1630 -18.6394 0.1664 0.0588 -19.6313 0.1048 1.0000 0.0000 0.0000 18.4759 1.0000 
0.1664 0.0588 -19.6313 0.1689 0.0561 -19.6577 0.1048 1.0000 0.0000 0.0000 18.5021 1.0000 
0.1689 0.0561 -19.6577 0.1961 0.0571 -20.6573 0.1048 1.0000 0.0000 0.0000 19.4885 1.0000 
0.1961 0.0571 -20.6573 0.1965 0.0571 -20.6701 0.1048 1.0000 0.0000 0.0000 19.5012 1.0000 
0.1965 0.0571 -20.6701 0.1783 -0.0478 -21.6499 0.1048 1.0000 0.0000 0.0000 20.4789 1.0000 
0.1783 -0.0478 -21.6499 0.2275 -0.1636 -22.6382 0.1048 1.0000 0.0000 0.0000 21.4726 1.0000 
0.2275 -0.1636 -22.6382 0.2413 -0.1424 -23.5140 0.1048 1.0000 0.0000 0.0000 22.3513 1.0000 
0.2413 -0.1424 -23.5140 0.2081 -0.1077 -24.3276 0.1048 1.0000 0.0000 0.0000 23.1725 1.0000 
0.2081 -0.1077 -24.3276 0.1527 0.0065 -25.3195 0.1048 1.0000 0.0000 0.0000 24.1854 1.0000 
0.1527 0.0065 -25.3195 0.1506 0.0114 -25.3567 0.1048 1.0000 0.0000 0.0000 24.2235 1.0000 
0.1506 0.0114 -25.3567 0.2853 0.2539 -26.3173 0.1048 1.0000 0.0000 0.0000 25.2423 1.0000 
0.2853 0.2539 -26.3173 0.1637 0.5590 -27.2116 0.1048 1.0000 0.0000 0.0000 26.2185 1.0000 
0.1637 0.5590 -27.2116 -0.1637 0.7041 -28.1452 0.1048 1.0000 0.0000 0.0000 27.2490 1.0000 
-0.1637 0.7041 -28.1452 -0.2165 0.7223 -28.2562 0.1048 1.0000 0.0000 0.0000 27.3774 1.0000 
-0.2165 0.7223 -28.2562 -0.5960 1.0192 -29.0972 0.1048 1.0000 0.0000 0.0000 28.3827 1.0000 
-0.5960 1.0192 -29.0972 -0.9600 1.3034 -29.9128 0.1048 1.0000 0.0000 0.0000 29.3603 1.0000 
-0.9600 1.3034 -29.9128 -1.1506 1.1990 -30.8889 0.1048 1.0000 0.0000 0.0000 30.4093 1.0000 
-1.1506 1.1990 -30.8889 -1.1567 1.1946 -30.9257 0.1048 1.0000 0.0000 0.0000 30.4487 1.0000 
-1.1567 1.1946 -30.9257 -1.0320 1.0803 -31.9112 0.1048 1.0000 0.0000 0.0000 31.5042 1.0000 
-1.0320 1.0803 -31.9112 -1.0289 1.0785 -31.9316 0.1048 1.0000 0.0000 0.0000 31.5261 1.0000 
-1.0289 1.0785 -31.9316 -1.0187 0.9484 -32.9230 0.1048 1.0000 0.0000 0.0000 32.5880 1.0000 
-1.0187 0.9484 -32.9230 -1.0185 0.9465 -32.9381 0.1048 1.0000 0.0000 0.0000 32.6043 1.0000 
-1.0185 0.9465 -32.9381 -1.1089 0.6730 -33.8958 0.1048 1.0000 0.0000 0.0000 33.6727 1.0000 
-1.1089 0.6730 -33.8958 -1.1137 0.6591 -33.9375 0.1048 1.0000 0.0000 0.0000 33.7202 1.0000 
-1.1137 0.6591 -33.9375 -1.2716 0.4194 -34.7331 0.1048 1.0000 0.0000 0.0000 34.6292 1.0000 
-1.2716 0.4194 -34.7331 -1.2699 0.0167 -35.6177 0.1048 1.0000 0.0000 0.0000 35.6796 1.0000 
-1.2699 0.0167 -35.6177 -1.1493 -0.3389 -36.4482 0.1048 1.0000 0.0000 0.0000 36.6702 1.0000 
-1.1493 -0.3389 -36.4482 -1.1638 -0.4548 -37.4414 0.1048 1.0000 0.0000 0.0000 37.7636 1.0000 
-1.1638 -0.4548 -37.4414 -1.1609 -0.4614 -37.5887 0.1048 1.0000 0.0000 0.0000 37.9254 1.0000 
-1.1609 -0.4614 -37.5887 -1.1337 -0.5909 -38.5799 0.1048 1.0000 0.0000 0.0000 39.0265 1.0000 
-1.1337 -0.5909 -38.5799 -1.1309 -0.5952 -38.6189 0.1048 1.0000 0.0000 0.0000 39.0700 1.0000 
-1.1309 -0.5952 -38.6189 -1.2518 -0.5717 -39.4307 0.1048 1.0000 0.0000 0.0000 39.9795 1.0000 
-1.2518 -0.5717 -39.4307 -1.3759 -0.6198 -40.4115 0.1048 1.0000 0.0000 0.0000 41.0822 1.0000 
-1.3759 -0.6198 -40.4115 -1.5065 -0.6562 -41.4023 0.1048 1.0000 0.0000 0.0000 42.2032 1.0000 
-1.5065 -0.6562 -41.4023 -1.5066 -0.6562 -41.4026 0.1048 1.0000 0.0000 0.0000 42.2036 1.0000 
-1.5066 -0.6562 -41.4026 -1.5957 -0.7131 -42.3134 0.1048 1.0000 0.0000 0.0000 43.2377 1.0000 
-1.5957 -0.7131 -42.3134 -1.5853 -0.7655 -43.3120 0.1048 1.0000 0.0000 0.0000 44.3725 1.0000 
